,time,posX,posY,orientation,mac,signal,rawTime,angle,posXY,medSignal,avgSignal,num,sdSignal,iqrSignal,Power,lnPower,avgPower,logAvgPwr,macX,macY,Dist,1/dist,1/dist2,3,00:0f:a3:39:e1:c0,135,-52,,,10
215531,02/11/2006 04:38,0,9,45.6,00:14:bf:b1:97:8a,-50,1.13966E+12,45,0-9,-50,-50.14285714,98,2.511827691,4,0.00001,-11.51292546,9.67641E-06,-11.54581954,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
215532,02/11/2006 04:38,0,9,45.6,00:14:bf:b1:97:90,-54,1.13966E+12,45,0-9,-53,-53.35643564,101,1.889889724,3,3.98107E-06,-12.4339595,4.61696E-06,-12.28577333,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
215533,02/11/2006 04:38,0,9,45.6,00:14:bf:b1:97:8d,-64,1.13966E+12,45,0-9,-65,-65.08974359,78,2.222587105,4,3.98107E-07,-14.7365446,3.0976E-07,-14.98746733,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
215534,02/11/2006 04:38,0,9,45.6,00:14:bf:b1:97:81,-65,1.13966E+12,45,0-9,-64,-65.09638554,83,2.17308625,3,3.16228E-07,-14.9668031,3.09287E-07,-14.9889967,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
215535,02/11/2006 04:38,0,9,45.6,00:14:bf:3b:c7:c6,-64,1.13966E+12,45,0-9,-64,-64.64583333,96,2.930705561,2,3.98107E-07,-14.7365446,3.43097E-07,-14.88525322,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
216369,02/11/2006 04:40,0,9,90.1,00:14:bf:b1:97:8a,-50,1.13966E+12,90,0-9,-49,-49.16504854,103,1.925561224,3,0.00001,-11.51292546,1.21198E-05,-11.32067079,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
216370,02/11/2006 04:40,0,9,90.1,00:0f:a3:39:e1:c0,-50,1.13966E+12,90,0-9,-49,-48.69090909,110,1.339214165,2,0.00001,-11.51292546,1.35179E-05,-11.21149614,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,0,,,,
216371,02/11/2006 04:40,0,9,90.1,00:14:bf:b1:97:8d,-61,1.13966E+12,90,0-9,-64,-64.96511628,86,2.177141539,1.75,7.94328E-07,-14.04576907,3.18778E-07,-14.95877083,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
216372,02/11/2006 04:40,0,9,90.1,00:14:bf:3b:c7:c6,-70,1.13966E+12,90,0-9,-68,-68.59550562,89,2.372757799,3,0.0000001,-16.11809565,1.38181E-07,-15.79469887,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
216376,02/11/2006 04:40,0,9,90.1,00:14:bf:b1:97:90,-48,1.13966E+12,90,0-9,-49,-51.83333333,102,4.911258703,9,1.58489E-05,-11.05240845,6.55642E-06,-11.93506607,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
216379,02/11/2006 04:40,0,9,90.1,00:14:bf:b1:97:81,-64,1.13966E+12,90,0-9,-66,-66,78,2.385018174,4,3.98107E-07,-14.7365446,2.51189E-07,-15.19706161,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
217198,02/11/2006 04:41,0,9,135.6,00:14:bf:b1:97:90,-46,1.13966E+12,135,0-9,-49,-50.31632653,98,4.985746568,9,2.51189E-05,-10.59189143,9.29752E-06,-11.58576234,1,14,5.099019514,0.196116135,0.038461538,,0,1,,,,
217199,02/11/2006 04:41,0,9,135.6,00:0f:a3:39:e1:c0,-51,1.13966E+12,135,0-9,-54,-53.52727273,110,1.530779563,3,7.94328E-06,-11.74318397,4.43887E-06,-12.32511003,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,1,0.007349133,0,9,0.125451655
217200,02/11/2006 04:41,0,9,135.6,00:14:bf:b1:97:8d,-61,1.13966E+12,135,0-9,-60,-60.39534884,86,1.3571516,2,7.94328E-07,-14.04576907,9.12988E-07,-13.90654299,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,1,,,,
217201,02/11/2006 04:41,0,9,135.6,00:14:bf:3b:c7:c6,-68,1.13966E+12,135,0-9,-67,-66.54901961,102,1.662798851,2,1.58489E-07,-15.65757863,2.21359E-07,-15.32347805,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,1,,,,
217202,02/11/2006 04:41,0,9,135.6,00:14:bf:b1:97:81,-69,1.13966E+12,135,0-9,-70,-69.82795699,93,1.74221034,2,1.25893E-07,-15.88783714,1.04041E-07,-16.07848128,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,1,,,,
217204,02/11/2006 04:41,0,9,135.6,00:14:bf:b1:97:8a,-49,1.13966E+12,135,0-9,-43,-44.17821782,101,2.624484862,5,1.25893E-05,-11.28266696,3.82101E-05,-10.17241058,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,1,,,,
218049,02/11/2006 04:42,0,9,180.2,00:14:bf:b1:97:8a,-44,1.13966E+12,180,0-9,-43,-43.18367347,98,2.067654375,4,3.98107E-05,-10.13137441,4.80433E-05,-9.943408279,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
218050,02/11/2006 04:42,0,9,180.2,00:14:bf:b1:97:90,-47,1.13966E+12,180,0-9,-48,-48.58762887,97,2.63688807,3,1.99526E-05,-10.82214994,1.38432E-05,-11.18771499,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
218051,02/11/2006 04:42,0,9,180.2,00:0f:a3:39:e1:c0,-46,1.13966E+12,180,0-9,-46,-49.62727273,110,5.765858213,10.75,2.51189E-05,-10.59189143,1.08961E-05,-11.42710184,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,0,,,,
218052,02/11/2006 04:42,0,9,180.2,00:14:bf:b1:97:81,-61,1.13966E+12,180,0-9,-62,-63.39285714,84,4.162418948,2,7.94328E-07,-14.04576907,4.57841E-07,-14.59674479,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
218053,02/11/2006 04:42,0,9,180.2,00:14:bf:b1:97:8d,-63,1.13966E+12,180,0-9,-59,-58.92045455,88,2.398378719,4,5.01187E-07,-14.50628609,1.2822E-06,-13.56693603,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
218054,02/11/2006 04:42,0,9,180.2,00:14:bf:3b:c7:c6,-62,1.13966E+12,180,0-9,-66,-66.6,90,2.742917335,3,6.30957E-07,-14.27602758,2.18776E-07,-15.33521672,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
218982,02/11/2006 04:43,0,9,225.6,00:0f:a3:39:e1:c0,-47,1.13966E+12,225,0-9,-47,-47.59090909,110,1.868598329,3,1.99526E-05,-10.82214994,1.74144E-05,-10.95821178,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,0,,,,
218983,02/11/2006 04:43,0,9,225.6,00:14:bf:b1:97:90,-57,1.13966E+12,225,0-9,-59,-58.7244898,98,2.482020345,2,1.99526E-06,-13.12473503,1.34138E-06,-13.52181348,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
218984,02/11/2006 04:43,0,9,225.6,00:14:bf:b1:97:8a,-56,1.13966E+12,225,0-9,-46,-48.40425532,94,5.714195018,10,2.51189E-06,-12.89447652,1.44402E-05,-11.14549167,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
218985,02/11/2006 04:43,0,9,225.6,00:14:bf:b1:97:81,-62,1.13966E+12,225,0-9,-64,-64.72093023,86,3.380397341,4,6.30957E-07,-14.27602758,3.37215E-07,-14.90254492,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
218986,02/11/2006 04:43,0,9,225.6,00:14:bf:b1:97:8d,-59,1.13966E+12,225,0-9,-60,-61.55421687,83,3.89575445,6,1.25893E-06,-13.58525205,6.99163E-07,-14.17338222,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
218987,02/11/2006 04:43,0,9,225.6,00:14:bf:3b:c7:c6,-62,1.13966E+12,225,0-9,-64,-63.81443299,97,1.763813913,2,6.30957E-07,-14.27602758,4.15486E-07,-14.69381621,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
219856,02/11/2006 04:43,0,9,270.2,00:14:bf:b1:97:8a,-45,1.13966E+12,270,0-9,-46,-45.94,100,1.716350368,2,3.16228E-05,-10.36163292,2.54683E-05,-10.57807592,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
219857,02/11/2006 04:43,0,9,270.2,00:0f:a3:39:e1:c0,-49,1.13966E+12,270,0-9,-48,-48.08181818,110,1.150443219,2,1.25893E-05,-11.28266696,1.55531E-05,-11.07124778,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,0,,,,
219858,02/11/2006 04:43,0,9,270.2,00:14:bf:b1:97:90,-63,1.13966E+12,270,0-9,-56,-55.89690722,97,2.980787564,2,5.01187E-07,-14.50628609,2.57223E-06,-12.87073853,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
219859,02/11/2006 04:43,0,9,270.2,00:14:bf:3b:c7:c6,-63,1.13966E+12,270,0-9,-64,-64.15306122,98,2.343457842,2,5.01187E-07,-14.50628609,3.84321E-07,-14.77178824,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
219860,02/11/2006 04:43,0,9,270.2,00:14:bf:b1:97:8d,-63,1.13966E+12,270,0-9,-62,-62.92222222,90,2.342704563,3,5.01187E-07,-14.50628609,5.10244E-07,-14.48837709,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
219868,02/11/2006 04:43,0,9,270.2,00:14:bf:b1:97:81,-62,1.13966E+12,270,0-9,-61,-61.93023256,86,3.30700041,3,6.30957E-07,-14.27602758,6.41175E-07,-14.25996303,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
220809,02/11/2006 04:44,0,9,315.4,00:14:bf:b1:97:8a,-45,1.13966E+12,315,0-9,-44,-44.7,90,2.733273956,4,3.16228E-05,-10.36163292,3.38844E-05,-10.29255537,2.5,-0.8,10.11385189,0.098874297,0.009776127,,0,0,,,,
220810,02/11/2006 04:44,0,9,315.4,00:0f:a3:39:e1:c0,-50,1.13966E+12,315,0-9,-51,-51.12727273,110,2.085815313,2,0.00001,-11.51292546,7.71388E-06,-11.7724896,7.5,6.3,7.971198153,0.125451655,0.015738118,,1,0,,,,
220811,02/11/2006 04:44,0,9,315.4,00:14:bf:b1:97:90,-55,1.13966E+12,315,0-9,-55,-54.94117647,102,2.551736079,5,3.16228E-06,-12.66421801,3.2054E-06,-12.65067339,1,14,5.099019514,0.196116135,0.038461538,,0,0,,,,
220812,02/11/2006 04:44,0,9,315.4,00:14:bf:b1:97:8d,-59,1.13966E+12,315,0-9,-60,-60,85,2.257263408,4,1.25893E-06,-13.58525205,0.000001,-13.81551056,33.5,9.3,33.50134326,0.029849549,0.000890996,,0,0,,,,
220813,02/11/2006 04:44,0,9,315.4,00:14:bf:b1:97:81,-64,1.13966E+12,315,0-9,-65,-64.55913978,93,1.919365642,3,3.98107E-07,-14.7365446,3.50014E-07,-14.86529129,33.5,2.8,34.06890077,0.029352282,0.000861556,,0,0,,,,
220814,02/11/2006 04:44,0,9,315.4,00:14:bf:3b:c7:c6,-68,1.13966E+12,315,0-9,-69,-68.8989899,99,3.564264098,5,1.58489E-07,-15.65757863,1.28855E-07,-15.86457871,12.8,-2.8,17.40919297,0.057440917,0.003299459,,0,0,,,,
221773,02/11/2006 04:46,0,10,0.9,00:14:bf:b1:97:90,-48,1.13966E+12,0,0-10,-48,-48.77142857,105,1.739015763,2,1.58489E-05,-11.05240845,1.32696E-05,-11.23003644,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
221774,02/11/2006 04:46,0,10,0.9,00:0f:a3:39:e1:c0,-53,1.13966E+12,0,0-10,-56,-56.2,110,1.12355922,1,5.01187E-06,-12.20370099,2.39883E-06,-12.94052822,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
221775,02/11/2006 04:46,0,10,0.9,00:14:bf:b1:97:8d,-68,1.13966E+12,0,0-10,-69,-69.05747126,87,2.364250812,2,1.58489E-07,-15.65757863,1.24238E-07,-15.90107039,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
221776,02/11/2006 04:46,0,10,0.9,00:14:bf:3b:c7:c6,-69,1.13966E+12,0,0-10,-64,-65.16483516,91,2.056230295,1,1.25893E-07,-15.88783714,3.0445E-07,-15.0047578,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
221779,02/11/2006 04:46,0,10,0.9,00:14:bf:b1:97:81,-67,1.13966E+12,0,0-10,-64,-64.66666667,81,2.598076211,2,1.99526E-07,-15.42732012,3.41455E-07,-14.89005027,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
221787,02/11/2006 04:46,0,10,0.9,00:14:bf:b1:97:8a,-44,1.13966E+12,0,0-10,-45,-44.85263158,95,1.756255816,1,3.98107E-05,-10.13137441,3.27142E-05,-10.32770009,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
222650,02/11/2006 04:46,0,10,45.1,00:14:bf:b1:97:90,-44,1.13966E+12,45,0-10,-46,-48.08333333,108,4.857069229,4.25,3.98107E-05,-10.13137441,1.55477E-05,-11.07159666,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
222651,02/11/2006 04:46,0,10,45.1,00:14:bf:b1:97:8a,-52,1.13966E+12,45,0-10,-53,-53.91588785,107,3.472592135,6,6.30957E-06,-11.97344248,4.05893E-06,-12.41459196,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
222653,02/11/2006 04:46,0,10,45.1,00:0f:a3:39:e1:c0,-54,1.13966E+12,45,0-10,-53,-53.10909091,110,1.757528783,2,3.98107E-06,-12.4339595,4.88755E-06,-12.2288201,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
222655,02/11/2006 04:46,0,10,45.1,00:14:bf:3b:c7:c6,-70,1.13966E+12,45,0-10,-67,-67.14285714,98,1.579507949,3,0.0000001,-16.11809565,1.9307E-07,-15.4602142,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
222668,02/11/2006 04:46,0,10,45.1,00:14:bf:b1:97:8d,-65,1.13966E+12,45,0-10,-65,-65.91954023,87,2.857948487,1.5,3.16228E-07,-14.9668031,2.55886E-07,-15.17853507,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
222669,02/11/2006 04:46,0,10,45.1,00:14:bf:b1:97:81,-68,1.13966E+12,45,0-10,-66.5,-66.75555556,90,2.284835751,3,1.58489E-07,-15.65757863,2.11079E-07,-15.37103471,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
223599,02/11/2006 04:47,0,10,90.4,00:14:bf:b1:97:8a,-47,1.13966E+12,90,0-10,-48,-47.78,100,1.883366854,3,1.99526E-05,-10.82214994,1.66725E-05,-11.00175157,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
223600,02/11/2006 04:47,0,10,90.4,00:14:bf:b1:97:90,-53,1.13966E+12,90,0-10,-51,-51.29213483,89,4.661745301,7,5.01187E-06,-12.20370099,7.42654E-06,-11.81045051,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
223601,02/11/2006 04:47,0,10,90.4,00:0f:a3:39:e1:c0,-61,1.13966E+12,90,0-10,-56,-56.49090909,110,3.286741379,6,7.94328E-07,-14.04576907,2.24341E-06,-13.00751252,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
223602,02/11/2006 04:47,0,10,90.4,00:14:bf:b1:97:81,-63,1.13966E+12,90,0-10,-67,-66.6091954,87,2.294362767,3.5,5.01187E-07,-14.50628609,2.18313E-07,-15.33733404,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
223604,02/11/2006 04:47,0,10,90.4,00:14:bf:3b:c7:c6,-73,1.13966E+12,90,0-10,-68,-68.43820225,89,1.322489527,1,5.01187E-08,-16.80887118,1.43278E-07,-15.75847843,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
223611,02/11/2006 04:47,0,10,90.4,00:14:bf:b1:97:8d,-65,1.13966E+12,90,0-10,-67,-67.13235294,68,2.028928191,4,3.16228E-07,-14.9668031,1.93537E-07,-15.45779551,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
224497,02/11/2006 04:48,0,10,135.8,00:14:bf:b1:97:8a,-42,1.13966E+12,135,0-10,-42,-41.93069307,101,0.930133601,2,6.30957E-05,-9.670857391,6.41107E-05,-9.65489888,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,1,,,,
224498,02/11/2006 04:48,0,10,135.8,00:14:bf:b1:97:90,-49,1.13966E+12,135,0-10,-53,-52.40625,96,4.097696721,3,1.25893E-05,-11.28266696,5.74612E-06,-12.066985,1,14,4.123105626,0.242535625,0.058823529,,0,1,,,,
224499,02/11/2006 04:48,0,10,135.8,00:0f:a3:39:e1:c0,-60,1.13966E+12,135,0-10,-58,-57.80733945,109,1.566294662,3,0.000001,-13.81551056,1.65678E-06,-13.31063181,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,1,0.026635294,0,10,0.119574118
224500,02/11/2006 04:48,0,10,135.8,00:14:bf:b1:97:81,-68,1.13966E+12,135,0-10,-69,-69.32467532,77,3.552025213,2,1.58489E-07,-15.65757863,1.16824E-07,-15.9625964,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,1,,,,
224501,02/11/2006 04:48,0,10,135.8,00:14:bf:3b:c7:c6,-67,1.13966E+12,135,0-10,-63,-64.08421053,95,2.18146524,3,1.99526E-07,-15.42732012,3.90462E-07,-14.75593479,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,1,,,,
224510,02/11/2006 04:48,0,10,135.8,00:14:bf:b1:97:8d,-68,1.13966E+12,135,0-10,-65,-65.59493671,79,1.683395434,3,1.58489E-07,-15.65757863,2.75744E-07,-15.10379234,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,1,,,,
225430,02/11/2006 04:49,0,10,179.4,00:14:bf:b1:97:8a,-46,1.13966E+12,180,0-10,-44,-44.43564356,101,3.795828873,6,2.51189E-05,-10.59189143,3.6011E-05,-10.23168505,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
225431,02/11/2006 04:49,0,10,179.4,00:14:bf:b1:97:90,-47,1.13966E+12,180,0-10,-47,-47.66666667,102,2.244171034,3,1.99526E-05,-10.82214994,1.71133E-05,-10.97565561,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
225432,02/11/2006 04:49,0,10,179.4,00:0f:a3:39:e1:c0,-57,1.13966E+12,180,0-10,-54,-54.72727273,110,3.073739291,5,1.99526E-06,-13.12473503,3.36723E-06,-12.60142024,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
225433,02/11/2006 04:49,0,10,179.4,00:14:bf:3b:c7:c6,-66,1.13966E+12,180,0-10,-65,-64.49473684,95,2.12819814,3,2.51189E-07,-15.19706161,3.55244E-07,-14.85046196,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
225434,02/11/2006 04:49,0,10,179.4,00:14:bf:b1:97:8d,-68,1.13966E+12,180,0-10,-68,-67.84615385,91,2.005121647,2,1.58489E-07,-15.65757863,1.64204E-07,-15.62215425,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
225441,02/11/2006 04:49,0,10,179.4,00:14:bf:b1:97:81,-70,1.13966E+12,180,0-10,-72,-71.54736842,95,1.705862364,2,0.0000001,-16.11809565,7.00266E-08,-16.4743904,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
226390,02/11/2006 04:50,0,10,225.3,00:14:bf:b1:97:8a,-50,1.13966E+12,225,0-10,-49,-49.01010101,99,3.176748914,4,0.00001,-11.51292546,1.256E-05,-11.2849928,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
226391,02/11/2006 04:50,0,10,225.3,00:0f:a3:39:e1:c0,-50,1.13966E+12,225,0-10,-51,-51.47706422,109,1.843890464,3,0.00001,-11.51292546,7.11694E-06,-11.85303207,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
226392,02/11/2006 04:50,0,10,225.3,00:14:bf:b1:97:81,-71,1.13966E+12,225,0-10,-68,-68.58415842,101,3.837361924,4,7.94328E-08,-16.34835416,1.38543E-07,-15.79208608,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
226393,02/11/2006 04:50,0,10,225.3,00:14:bf:b1:97:8d,-67,1.13966E+12,225,0-10,-67,-66.71111111,90,1.87379591,2,1.99526E-07,-15.42732012,2.1325E-07,-15.360801,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
226399,02/11/2006 04:50,0,10,225.3,00:14:bf:b1:97:90,-61,1.13966E+12,225,0-10,-54,-54.56179775,89,3.285488258,5,7.94328E-07,-14.04576907,3.498E-06,-12.56331822,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
226406,02/11/2006 04:50,0,10,225.3,00:14:bf:3b:c7:c6,-63,1.13966E+12,225,0-10,-63,-63.01162791,86,2.707263372,4,5.01187E-07,-14.50628609,4.99847E-07,-14.50896351,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
227325,02/11/2006 04:51,0,10,270.5,00:14:bf:b1:97:8a,-43,1.13966E+12,270,0-10,-41,-41.34042553,94,2.148033317,0,5.01187E-05,-9.9011159,7.34442E-05,-9.518984757,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
227326,02/11/2006 04:51,0,10,270.5,00:14:bf:b1:97:8d,-63,1.13966E+12,270,0-10,-64,-64.16666667,90,2.234811406,3,5.01187E-07,-14.50628609,3.83119E-07,-14.77492101,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
227327,02/11/2006 04:51,0,10,270.5,00:14:bf:b1:97:90,-57,1.13966E+12,270,0-10,-58,-57.80645161,93,2.02837515,3,1.99526E-06,-13.12473503,1.65712E-06,-13.31042738,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
227328,02/11/2006 04:51,0,10,270.5,00:0f:a3:39:e1:c0,-58,1.13966E+12,270,0-10,-56,-57.15454545,110,4.126856243,6,1.58489E-06,-13.35499354,1.92551E-06,-13.16032044,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
227329,02/11/2006 04:51,0,10,270.5,00:14:bf:3b:c7:c6,-60,1.13966E+12,270,0-10,-61,-63.26744186,86,4.638520095,2,0.000001,-13.81551056,4.71255E-07,-14.56786685,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
227330,02/11/2006 04:51,0,10,270.5,00:14:bf:b1:97:81,-69,1.13966E+12,270,0-10,-62,-62.86904762,84,3.814303334,2,1.25893E-07,-15.88783714,5.1653E-07,-14.47613319,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
228243,02/11/2006 04:52,0,10,314.7,00:14:bf:b1:97:8a,-39,1.13966E+12,315,0-10,-38,-39.53921569,102,2.823773084,1,0.000125893,-8.980081863,0.000111193,-9.104240863,2.5,-0.8,11.08557621,0.090207309,0.008137359,,0,0,,,,
228244,02/11/2006 04:52,0,10,314.7,00:14:bf:b1:97:90,-56,1.13966E+12,315,0-10,-58,-57.67741935,93,1.252487007,2,2.51189E-06,-12.89447652,1.7071E-06,-13.2807166,1,14,4.123105626,0.242535625,0.058823529,,0,0,,,,
228245,02/11/2006 04:52,0,10,314.7,00:0f:a3:39:e1:c0,-54,1.13966E+12,315,0-10,-55,-55.1,110,0.812177953,1.75,3.98107E-06,-12.4339595,3.0903E-06,-12.68724386,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
228246,02/11/2006 04:52,0,10,314.7,00:14:bf:b1:97:81,-59,1.13966E+12,315,0-10,-60,-60.57446809,94,3.690992703,2,1.25893E-06,-13.58525205,8.76099E-07,-13.94778672,33.5,2.8,34.26499672,0.029184302,0.000851723,,0,0,,,,
228247,02/11/2006 04:52,0,10,314.7,00:14:bf:b1:97:8d,-62,1.13966E+12,315,0-10,-60,-59.875,88,1.566990673,1,6.30957E-07,-14.27602758,1.0292E-06,-13.78672824,33.5,9.3,33.50731263,0.029844232,0.000890678,,0,0,,,,
228248,02/11/2006 04:52,0,10,314.7,00:14:bf:3b:c7:c6,-63,1.13966E+12,315,0-10,-63,-64.64893617,94,4.198585135,3,5.01187E-07,-14.50628609,3.42852E-07,-14.88596767,12.8,-2.8,18.1019336,0.055242717,0.003051758,,0,0,,,,
229184,02/11/2006 04:54,0,11,0.4,00:14:bf:b1:97:8a,-48,1.13966E+12,0,0-11,-43,-44.09345794,107,2.361374361,3,1.58489E-05,-11.05240845,3.89632E-05,-10.1528939,2.5,-0.8,12.06192356,0.082905516,0.006873325,,0,0,,,,
229185,02/11/2006 04:54,0,11,0.4,00:0f:a3:39:e1:c0,-53,1.13966E+12,0,0-11,-53,-54.68181818,110,3.421282066,7,5.01187E-06,-12.20370099,3.40266E-06,-12.59095394,7.5,6.3,8.850988645,0.112981729,0.012764871,,1,0,,,,
229186,02/11/2006 04:54,0,11,0.4,00:14:bf:3b:c7:c6,-66,1.13966E+12,0,0-11,-68,-68.65217391,92,2.703009241,2,2.51189E-07,-15.19706161,1.3639E-07,-15.80774723,12.8,-2.8,18.82232717,0.053128393,0.002822626,,0,0,,,,
229187,02/11/2006 04:54,0,11,0.4,00:14:bf:b1:97:8d,-66,1.13966E+12,0,0-11,-68,-68.70731707,82,1.996835799,1.75,2.51189E-07,-15.19706161,1.34669E-07,-15.82044441,33.5,9.3,33.54310659,0.029812385,0.000888778,,0,0,,,,
229188,02/11/2006 04:54,0,11,0.4,00:14:bf:b1:97:81,-74,1.13966E+12,0,0-11,-70,-72.47058824,102,4.70875713,9,3.98107E-08,-17.03912969,5.66163E-08,-16.68696962,33.5,2.8,34.48898375,0.028994766,0.000840696,,0,0,,,,
229195,02/11/2006 04:54,0,11,0.4,00:14:bf:b1:97:90,-50,1.13966E+12,0,0-11,-52,-52.28846154,104,3.797477642,3,0.00001,-11.51292546,5.9041E-06,-12.03986321,1,14,3.16227766,0.316227766,0.1,,0,0,,,,
230178,02/11/2006 04:55,0,11,45.3,00:0f:a3:39:e1:c0,-49,1.13966E+12,45,0-11,-52,-55.24545455,110,5.601746719,10.75,1.25893E-05,-11.28266696,2.98851E-06,-12.72073601,7.5,6.3,8.850988645,0.112981729,0.012764871,,1,0,,,,
230179,02/11/2006 04:55,0,11,45.3,00:14:bf:b1:97:8d,-65,1.13966E+12,45,0-11,-64,-64.23376623,77,1.555094378,2,3.16228E-07,-14.9668031,3.77245E-07,-14.79037126,33.5,9.3,33.54310659,0.029812385,0.000888778,,0,0,,,,
230180,02/11/2006 04:55,0,11,45.3,00:14:bf:3b:c7:c6,-72,1.13966E+12,45,0-11,-70,-70.48235294,85,2.442733465,3,6.30957E-08,-16.57861267,8.9488E-08,-16.22916152,12.8,-2.8,18.82232717,0.053128393,0.002822626,,0,0,,,,
230183,02/11/2006 04:55,0,11,45.3,00:14:bf:b1:97:90,-60,1.13966E+12,45,0-11,-60,-59.23655914,93,3.840283757,4,0.000001,-13.81551056,1.19219E-06,-13.6397218,1,14,3.16227766,0.316227766,0.1,,0,0,,,,
230190,02/11/2006 04:55,0,11,45.3,00:14:bf:b1:97:8a,-55,1.13966E+12,45,0-11,-52,-54.70526316,95,5.408570197,10,3.16228E-06,-12.66421801,3.38434E-06,-12.59635235,2.5,-0.8,12.06192356,0.082905516,0.006873325,,0,0,,,,
